label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
P37,7,27.6053,22.8827,4.7226,"[4, None, 4, None, 0, 2, None, 3, 3, 4]","[389, 0, 184, 279, 428]","[5.9661, 0.0, 5.2204, 5.6348, 6.0615]",True,אי-היתכנות EF1
S113,6,27.9598,22.4884,5.4714,"[4, None, 4, None, 0, 2, None, 4, 3, None]","[389, 0, 184, 167, 481]","[5.9661, 0.0, 5.2204, 5.124, 6.1779]",False,
S8,4,28.1272,17.2778,10.8494,"[4, None, None, None, 0, 2, None, None, 4, None]","[389, 0, 184, 0, 441]","[5.9661, 0.0, 5.2204, 0.0, 6.0913]",False,
N17,3,28.3329,16.6996,11.6334,"[4, None, None, None, 0, 3, None, None, None, None]","[389, 0, 0, 146, 311]","[5.9661, 0.0, 0.0, 4.9904, 5.743]",False,
S37,4,27.9379,17.0434,10.8945,"[4, None, None, None, 0, 3, None, None, 0, None]","[549, 0, 0, 146, 311]","[6.3099, 0.0, 0.0, 4.9904, 5.743]",False,
N68,4,28.1966,21.5974,6.5991,"[4, None, None, None, 0, 3, None, None, 1, None]","[389, 133, 0, 146, 311]","[5.9661, 4.8978, 0.0, 4.9904, 5.743]",False,
S226,5,27.9692,21.8257,6.1435,"[4, None, 0, None, 0, 3, None, None, 1, None]","[489, 133, 0, 146, 311]","[6.1944, 4.8978, 0.0, 4.9904, 5.743]",False,
S227,5,27.9663,21.9091,6.0573,"[4, None, 1, None, 0, 3, None, None, 1, None]","[389, 182, 0, 146, 311]","[5.9661, 5.2095, 0.0, 4.9904, 5.743]",False,
N69,5,28.1966,26.2418,1.9547,"[4, None, 2, None, 0, 3, None, None, 1, None]","[389, 133, 103, 146, 311]","[5.9661, 4.8978, 4.6444, 4.9904, 5.743]",False,
S230,6,27.8429,26.3871,1.4558,"[4, None, 2, None, 0, 3, None, 0, 1, None]","[450, 133, 103, 146, 311]","[6.1115, 4.8978, 4.6444, 4.9904, 5.743]",False,
S231,6,27.9396,26.5697,1.3699,"[4, None, 2, None, 0, 3, None, 1, 1, None]","[389, 185, 103, 146, 311]","[5.9661, 5.2257, 4.6444, 4.9904, 5.743]",False,
S232,6,27.89,26.5742,1.3159,"[4, None, 2, None, 0, 3, None, 2, 1, None]","[389, 133, 144, 146, 311]","[5.9661, 4.8978, 4.9767, 4.9904, 5.743]",False,
N71,6,28.1936,26.8082,1.3854,"[4, None, 2, None, 0, 3, None, 3, 1, None]","[389, 133, 103, 258, 311]","[5.9661, 4.8978, 4.6444, 5.5568, 5.743]",False,
S237,7,27.8522,26.9755,0.8767,"[4, None, 2, None, 0, 3, None, 3, 1, 0]","[460, 133, 103, 258, 311]","[6.1334, 4.8978, 4.6444, 5.5568, 5.743]",False,
S238,7,28.0324,27.2334,0.799,"[4, None, 2, None, 0, 3, None, 3, 1, 1]","[389, 204, 103, 258, 311]","[5.9661, 5.323, 4.6444, 5.5568, 5.743]",False,
N72,7,28.1925,27.5109,0.6816,"[4, None, 2, None, 0, 3, None, 3, 1, 2]","[389, 133, 209, 258, 311]","[5.9661, 4.8978, 5.3471, 5.5568, 5.743]",False,
S241,8,28.058,27.5755,0.4825,"[4, None, 2, None, 0, 3, 0, 3, 1, 2]","[415, 133, 209, 258, 311]","[6.0307, 4.8978, 5.3471, 5.5568, 5.743]",False,
