m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef
10,0,27.188250861932072,1233,159,5.626678466796875e-05,True,False,28.375652969093064,1478,243,0.018313169479370117,96,1,1,True,True,True,False
10,1,26.57901950398308,1072,110,2.7894973754882812e-05,True,False,28.38454408960846,1513,179,0.004471540451049805,28,1,1,True,True,True,False
10,2,27.660615990296186,1379,133,2.6464462280273438e-05,True,False,28.644513004836643,1556,229,0.0027298927307128906,19,1,1,True,True,True,False
10,3,27.618437548952773,1383,155,2.47955322265625e-05,True,False,28.22499579551521,1428,224,0.013420820236206055,86,1,1,True,True,True,False
10,4,27.231340545078755,1363,89,3.0040740966796875e-05,True,False,28.20125430690768,1420,246,0.0066070556640625,42,1,1,True,True,True,False
10,5,27.054908180799544,1235,121,2.6941299438476562e-05,True,False,28.435949857548774,1507,218,0.003103971481323242,20,1,1,True,True,True,False
10,6,27.385647369045163,1324,151,2.5272369384765625e-05,True,False,28.23501799208769,1453,198,0.007688760757446289,52,1,1,True,True,True,False
10,7,27.77332824543481,1392,156,2.47955322265625e-05,True,False,28.343903463391626,1452,239,0.009065866470336914,60,1,1,True,True,True,False
10,8,27.54897127938683,1332,146,2.574920654296875e-05,True,False,28.354360042922284,1460,235,0.003108501434326172,19,1,1,True,True,True,False
10,9,27.256643327145433,1235,152,2.5272369384765625e-05,True,False,28.158670490039107,1411,220,0.020389080047607422,120,1,1,True,True,True,False
10,10,27.442338914058006,1282,136,2.5987625122070312e-05,True,False,28.144301328654326,1434,220,0.02035069465637207,112,1,1,True,True,True,False
10,11,27.207547997494633,1219,137,2.6941299438476562e-05,True,False,28.11911267439208,1391,231,0.02051544189453125,129,1,1,True,True,True,False
10,12,27.24265127351832,1313,109,3.695487976074219e-05,True,False,28.369307984283633,1473,228,0.007196664810180664,47,1,1,True,True,True,False
10,13,27.445886471326688,1355,97,2.6941299438476562e-05,True,False,28.49098886960073,1526,226,0.006308078765869141,40,1,1,True,True,True,False
10,14,27.060250384896726,1234,117,2.8133392333984375e-05,True,False,27.890452087295195,1325,233,0.011352777481079102,73,1,1,True,True,True,False
10,15,27.78941433897164,1418,151,2.6941299438476562e-05,True,False,28.28880461459361,1448,217,0.008266687393188477,55,1,1,True,True,True,False
10,16,27.664448819862116,1366,146,2.6226043701171875e-05,True,False,28.43629421197207,1513,192,0.0033674240112304688,22,1,1,True,True,True,False
10,17,27.159857954115083,1234,141,2.5272369384765625e-05,True,False,28.359846158650164,1462,233,0.007116794586181641,48,1,1,True,True,True,False
10,18,27.09993656869351,1238,113,7.390975952148438e-05,True,False,28.378303414906338,1492,216,0.004120588302612305,26,1,1,True,True,True,False
10,19,27.7228582637331,1393,142,2.4557113647460938e-05,True,False,28.556122089730117,1531,241,0.004061222076416016,28,1,1,True,True,True,False
10,20,27.64731198421081,1415,107,3.123283386230469e-05,True,False,28.35841211774326,1490,182,0.005338907241821289,35,1,1,True,True,True,False
10,21,27.688836676022817,1306,162,2.4557113647460938e-05,True,False,28.16974826747333,1409,241,0.006683349609375,43,1,1,True,True,True,False
10,22,27.06080324095293,1177,158,2.574920654296875e-05,True,False,28.546124039918148,1528,234,0.005078792572021484,31,1,1,True,True,True,False
10,23,27.5241395156879,1280,155,2.6464462280273438e-05,True,False,28.436627272929787,1503,203,0.010241031646728516,64,1,1,True,True,True,False
10,24,26.944024401216957,1126,132,2.6464462280273438e-05,True,False,27.760635064938782,1296,215,0.005702018737792969,36,1,1,True,True,True,False
10,25,27.699916673085415,1374,160,2.5033950805664062e-05,True,False,28.481766529357486,1515,233,0.003157377243041992,20,1,1,True,True,True,False
10,26,26.67432115527214,1104,107,2.6464462280273438e-05,True,False,27.929599546489754,1350,205,0.010404586791992188,65,1,1,True,True,True,False
10,27,26.830743414468635,1158,122,2.6941299438476562e-05,True,False,28.413971685724455,1508,202,0.004328727722167969,28,1,1,True,True,True,False
10,28,26.72767756639359,1149,120,2.6226043701171875e-05,True,False,28.081830732025136,1415,197,0.003953695297241211,27,1,1,True,True,True,False
10,29,26.823703614121733,1227,140,2.5033950805664062e-05,True,False,28.21180239137746,1418,232,0.007082462310791016,52,1,1,True,True,True,False
10,30,27.43348279946757,1308,128,2.5510787963867188e-05,True,False,28.53431417820692,1534,223,0.0039899349212646484,29,1,1,True,True,True,False
10,31,27.303166703485303,1263,152,5.698204040527344e-05,True,False,28.224696505358263,1441,214,0.008141756057739258,52,1,1,True,True,True,False
10,32,26.900060544657663,1198,131,2.5272369384765625e-05,True,False,28.330298714506114,1489,205,0.007816314697265625,51,1,1,True,True,True,False
10,33,27.433697898142015,1289,141,2.5510787963867188e-05,True,False,28.57235227597549,1535,230,0.003576040267944336,23,1,1,True,True,True,False
10,34,27.567806070371745,1337,147,2.5033950805664062e-05,True,False,28.079253345244485,1400,207,0.012522220611572266,79,1,1,True,True,True,False
10,35,27.530896273263256,1359,156,2.8133392333984375e-05,True,False,28.336290441008483,1480,212,0.00713801383972168,28,1,1,True,True,True,False
10,36,27.096787254290742,1213,140,4.696846008300781e-05,True,False,28.040501465780345,1378,202,0.03583550453186035,130,1,1,True,True,True,False
10,37,27.05615537915102,1269,98,3.886222839355469e-05,True,False,27.852521071519007,1316,229,0.04592752456665039,159,1,1,True,True,True,False
10,38,27.3194154631053,1343,124,4.267692565917969e-05,True,False,28.616668625675693,1551,233,0.006554126739501953,23,1,1,True,True,True,False
10,39,27.70778493401749,1468,137,3.790855407714844e-05,True,False,28.473760494819786,1519,221,0.0062444210052490234,24,1,1,True,True,True,False
10,40,27.237735727145242,1266,150,3.743171691894531e-05,True,False,28.453944420928828,1529,181,0.017000436782836914,65,1,1,True,True,True,False
10,41,27.04841606683816,1229,134,4.172325134277344e-05,True,False,28.442673907163325,1507,205,0.0027379989624023438,18,1,1,True,True,True,False
10,42,27.341431219630984,1265,144,2.5510787963867188e-05,True,False,28.166748645472296,1428,207,0.02157902717590332,92,1,1,True,True,True,False
10,43,27.995562748900806,1512,150,4.1961669921875e-05,True,False,28.38966876232887,1494,228,0.007420778274536133,26,1,1,True,True,True,False
10,44,27.515255499273284,1395,104,4.38690185546875e-05,True,False,28.71488610065684,1588,245,0.04859137535095215,189,1,1,True,True,True,False
10,45,27.862963261708067,1402,158,2.9802322387695312e-05,True,False,28.57157667242719,1550,198,0.014042377471923828,94,1,1,True,True,True,False
10,46,27.45896580318688,1294,156,2.7894973754882812e-05,True,False,28.17473247302094,1428,210,0.01996755599975586,137,1,1,True,True,True,False
10,47,26.749965924946682,1145,156,2.7179718017578125e-05,True,False,28.44606267171757,1503,220,0.013064384460449219,82,1,1,True,True,True,False
10,48,27.131830884877452,1173,135,2.86102294921875e-05,True,False,28.098453527425228,1404,193,0.010167121887207031,66,1,1,True,True,True,False
10,49,27.34077087232248,1393,77,2.5987625122070312e-05,True,False,28.438651935115782,1523,192,0.007620096206665039,50,1,1,True,True,True,False
20,0,31.113343708739237,2605,346,5.245208740234375e-05,True,False,31.65228972329245,2834,461,0.14020204544067383,672,1,1,True,True,True,False
