label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S61,7,28.394,27.754,0.6399,"[0, 1, None, 3, 1, 2, 4, 1, None, None]","[175, 246, 197, 357, 366]","[5.1705, 5.5094, 5.2883, 5.8805, 5.9054]",False,
N20,7,28.5175,27.8642,0.6533,"[0, 1, None, 3, 2, 2, 4, 1, None, None]","[175, 186, 291, 357, 366]","[5.1705, 5.2311, 5.6768, 5.8805, 5.9054]",False,
S72,8,28.4244,28.0119,0.4126,"[0, 1, None, 3, 2, 2, 4, 1, None, 0]","[203, 186, 291, 357, 366]","[5.3181, 5.2311, 5.6768, 5.8805, 5.9054]",False,
N21,8,28.5175,28.1012,0.4163,"[0, 1, None, 3, 2, 2, 4, 1, None, 1]","[175, 236, 291, 357, 366]","[5.1705, 5.4681, 5.6768, 5.8805, 5.9054]",False,
N22,9,28.5175,28.3289,0.1887,"[0, 1, 0, 3, 2, 2, 4, 1, None, 1]","[220, 236, 291, 357, 366]","[5.3982, 5.4681, 5.6768, 5.8805, 5.9054]",False,
L1,10,28.5104,28.5104,0.0,"[0, 1, 0, 3, 2, 2, 4, 1, 0, 1]","[264, 236, 291, 357, 366]","[5.5797, 5.4681, 5.6768, 5.8805, 5.9054]",False,
S80,10,28.3981,28.3981,0.0,"[0, 1, 0, 3, 2, 2, 4, 1, 1, 1]","[220, 253, 291, 357, 366]","[5.3982, 5.5373, 5.6768, 5.8805, 5.9054]",False,
S81,10,28.439,28.439,0.0,"[0, 1, 0, 3, 2, 2, 4, 1, 2, 1]","[220, 236, 325, 357, 366]","[5.3982, 5.4681, 5.7869, 5.8805, 5.9054]",False,
S82,10,28.3699,28.3699,0.0,"[0, 1, 0, 3, 2, 2, 4, 1, 3, 1]","[220, 236, 291, 372, 366]","[5.3982, 5.4681, 5.6768, 5.9216, 5.9054]",False,
S83,10,28.4445,28.4445,0.0,"[0, 1, 0, 3, 2, 2, 4, 1, 4, 1]","[220, 236, 291, 357, 411]","[5.3982, 5.4681, 5.6768, 5.8805, 6.021]",False,
S76,9,28.417,28.19,0.227,"[0, 1, 1, 3, 2, 2, 4, 1, None, 1]","[175, 258, 291, 357, 366]","[5.1705, 5.5568, 5.6768, 5.8805, 5.9054]",False,
S77,9,28.4689,28.2416,0.2274,"[0, 1, 2, 3, 2, 2, 4, 1, None, 1]","[175, 236, 335, 357, 366]","[5.1705, 5.4681, 5.8171, 5.8805, 5.9054]",False,
