m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,rr_player_order
10,28,26.72767756639359,1149,120,2.431869506835937e-05,28.081830732025136,1415,197,0.0034670829772949,27,1,1,True,True,True,"[4, 3, 0, 1, 2]"
10,29,26.823703614121733,1227,140,2.264976501464844e-05,28.21180239137746,1418,232,0.0065226554870605,52,1,1,True,True,True,"[4, 2, 0, 3, 1]"
10,30,27.43348279946757,1308,128,2.431869506835937e-05,28.53431417820692,1534,223,0.0042266845703125,29,1,1,True,True,True,"[1, 0, 3, 2, 4]"
10,31,27.303166703485303,1263,152,3.409385681152344e-05,28.224696505358263,1441,214,0.0110988616943359,52,1,1,True,True,True,"[1, 3, 4, 0, 2]"
10,32,26.900060544657663,1198,131,2.3365020751953125e-05,28.330298714506117,1489,205,0.0060975551605224,51,1,1,True,True,True,"[2, 4, 1, 3, 0]"
10,33,27.43369789814201,1289,141,2.3365020751953125e-05,28.57235227597549,1535,230,0.0026996135711669,23,1,1,True,True,True,"[3, 0, 2, 1, 4]"
10,34,27.567806070371745,1337,147,2.2172927856445312e-05,28.079253345244485,1400,207,0.0097529888153076,79,1,1,True,True,True,"[1, 0, 2, 3, 4]"
10,35,27.530896273263256,1359,156,2.3365020751953125e-05,28.336290441008483,1480,212,0.0034825801849365,28,1,1,True,True,True,"[2, 1, 3, 0, 4]"
10,36,27.096787254290746,1213,140,2.264976501464844e-05,28.040501465780345,1378,202,0.0168163776397705,130,1,1,True,True,True,"[1, 0, 3, 4, 2]"
10,37,27.05615537915102,1269,98,2.4557113647460938e-05,27.852521071519007,1316,229,0.0215063095092773,159,1,1,True,True,True,"[0, 2, 3, 4, 1]"
10,38,27.3194154631053,1343,124,2.5510787963867188e-05,28.616668625675693,1551,233,0.0040762424468994,23,1,1,True,True,True,"[4, 1, 3, 2, 0]"
10,39,27.70778493401749,1468,137,2.47955322265625e-05,28.473760494819786,1519,221,0.0027663707733154,24,1,1,True,True,True,"[2, 0, 3, 4, 1]"
10,40,27.23773572714524,1266,150,2.7179718017578125e-05,28.453944420928828,1529,181,0.0086407661437988,65,1,1,True,True,True,"[4, 1, 3, 2, 0]"
10,41,27.04841606683816,1229,134,2.47955322265625e-05,28.442673907163325,1507,205,0.0019950866699218,18,1,1,True,True,True,"[0, 1, 4, 2, 3]"
10,42,27.341431219630984,1265,144,2.7179718017578125e-05,28.166748645472296,1428,207,0.0105915069580078,92,1,1,True,True,True,"[4, 1, 0, 3, 2]"
10,43,27.99556274890081,1512,150,2.86102294921875e-05,28.38966876232887,1494,228,0.004929780960083,26,1,1,True,True,True,"[3, 1, 4, 2, 0]"
10,44,27.515255499273284,1395,104,2.6702880859375e-05,28.71488610065684,1588,245,0.0227296352386474,189,1,1,True,True,True,"[3, 0, 4, 2, 1]"
10,45,27.862963261708067,1402,158,2.646446228027344e-05,28.57157667242719,1550,198,0.0110983848571777,94,1,1,True,True,True,"[4, 1, 3, 0, 2]"
10,46,27.45896580318688,1294,156,2.5510787963867188e-05,28.17473247302094,1428,210,0.0151715278625488,137,1,1,True,True,True,"[4, 0, 1, 3, 2]"
10,47,26.74996592494668,1145,156,2.47955322265625e-05,28.44606267171757,1503,220,0.0102531909942626,82,1,1,True,True,True,"[0, 2, 1, 4, 3]"
10,48,27.13183088487745,1173,135,2.4557113647460938e-05,28.098453527425228,1404,193,0.0078775882720947,66,1,1,True,True,True,"[4, 2, 1, 3, 0]"
10,49,27.34077087232248,1393,77,2.6226043701171875e-05,28.438651935115782,1523,192,0.0061020851135253,50,1,1,True,True,True,"[4, 1, 2, 3, 0]"
20,0,31.11334370873924,2605,346,9.441375732421876e-05,31.65228972329245,2834,461,0.1143131256103515,672,1,1,True,True,True,"[0, 4, 1, 2, 3]"
20,1,31.05319127332941,2592,336,4.363059997558594e-05,31.58721769646247,2773,511,0.7144126892089844,3924,1,1,True,True,True,"[0, 3, 1, 4, 2]"
20,2,31.06207908587084,2552,375,4.38690185546875e-05,31.69187134767054,2836,511,0.3027048110961914,2240,1,1,True,True,True,"[4, 1, 0, 3, 2]"
20,3,31.316126475926023,2732,346,4.76837158203125e-05,31.77822717434597,2883,536,0.0754830837249755,558,1,1,True,True,True,"[1, 2, 3, 4, 0]"
20,4,31.219886928939783,2675,359,4.363059997558594e-05,31.6768021126482,2834,467,0.0674889087677002,472,1,1,True,True,True,"[2, 3, 1, 4, 0]"
20,5,31.48942992185656,2791,374,4.220008850097656e-05,31.77868188353171,2905,499,0.1910140514373779,1477,1,1,True,True,True,"[4, 3, 1, 2, 0]"
20,6,31.70336917339557,2942,375,4.267692565917969e-05,31.986996129994782,3008,523,0.2136769294738769,1568,1,1,True,True,True,"[2, 1, 3, 4, 0]"
20,7,31.477924318149885,2788,364,4.744529724121094e-05,31.843520950719817,2919,550,0.0249326229095459,190,1,1,True,True,True,"[3, 4, 2, 0, 1]"
20,8,31.209802212214644,2641,362,4.172325134277344e-05,31.874616476685745,2936,529,0.0215699672698974,168,1,1,True,True,True,"[1, 0, 4, 2, 3]"
20,9,31.164203187001263,2624,358,4.315376281738281e-05,31.806471212086727,2896,531,0.1064980030059814,785,1,1,True,True,True,"[0, 4, 3, 1, 2]"
20,10,31.15693788912614,2587,398,4.8160552978515625e-05,31.807754132954464,2905,530,0.1822214126586914,1323,1,1,True,True,True,"[1, 3, 4, 0, 2]"
20,11,31.360517236729024,2700,406,4.315376281738281e-05,31.775858865644363,2900,474,0.4338219165802002,3236,1,1,True,True,True,"[2, 3, 1, 4, 0]"
20,12,31.170566685886342,2642,367,4.38690185546875e-05,31.744457507510997,2871,508,0.4712440967559814,3442,1,1,True,True,True,"[0, 4, 3, 2, 1]"
20,13,31.101921223775182,2625,325,7.43865966796875e-05,31.710817883714597,2840,512,0.2812166213989258,2074,1,1,True,True,True,"[3, 4, 2, 0, 1]"
20,14,31.070267068053067,2576,363,4.434585571289063e-05,31.51513251408397,2732,486,0.1919419765472412,1400,1,1,True,True,True,"[2, 1, 4, 3, 0]"
20,15,31.16398758867366,2580,382,4.3392181396484375e-05,31.785708170179436,2896,504,0.2786741256713867,2003,1,1,True,True,True,"[1, 3, 4, 0, 2]"
20,16,30.99487385407136,2539,329,6.914138793945312e-05,31.47432102678868,2723,463,0.4717473983764648,3513,1,1,True,True,True,"[3, 2, 1, 0, 4]"
20,17,31.240447606636856,2644,379,4.410743713378906e-05,31.645408214163652,2819,505,0.6499631404876709,4506,1,1,True,True,True,"[1, 0, 3, 2, 4]"
20,18,31.232193888132585,2621,394,4.2438507080078125e-05,31.813930247702856,2915,494,0.0548264980316162,401,1,1,True,True,True,"[2, 0, 3, 1, 4]"
20,19,31.434781189226893,2777,382,4.291534423828125e-05,31.9001831607363,2958,531,0.2080574035644531,1549,1,1,True,True,True,"[1, 3, 4, 0, 2]"
