m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef,rr_player_order
10,35,27.530896273263256,1359,156,2.813339233398437e-05,True,False,28.336290441008483,1480,212,0.0071380138397216,28,1,1,True,True,True,False,"[2, 1, 3, 0, 4]"
10,36,27.096787254290746,1213,140,4.696846008300781e-05,True,False,28.040501465780345,1378,202,0.0358355045318603,130,1,1,True,True,True,False,"[1, 0, 3, 4, 2]"
10,37,27.05615537915102,1269,98,3.886222839355469e-05,True,False,27.852521071519007,1316,229,0.0459275245666503,159,1,1,True,True,True,False,"[0, 2, 3, 4, 1]"
10,38,27.3194154631053,1343,124,4.267692565917969e-05,True,False,28.616668625675693,1551,233,0.0065541267395019,23,1,1,True,True,True,False,"[4, 1, 3, 2, 0]"
10,39,27.70778493401749,1468,137,3.790855407714844e-05,True,False,28.473760494819786,1519,221,0.006244421005249,24,1,1,True,True,True,False,"[2, 0, 3, 4, 1]"
10,40,27.23773572714524,1266,150,3.743171691894531e-05,True,False,28.453944420928828,1529,181,0.0170004367828369,65,1,1,True,True,True,False,"[4, 1, 3, 2, 0]"
10,41,27.04841606683816,1229,134,4.172325134277344e-05,True,False,28.442673907163325,1507,205,0.0027379989624023,18,1,1,True,True,True,False,"[0, 1, 4, 2, 3]"
10,42,27.341431219630984,1265,144,2.5510787963867188e-05,True,False,28.166748645472296,1428,207,0.0215790271759033,92,1,1,True,True,True,False,"[4, 1, 0, 3, 2]"
10,43,27.99556274890081,1512,150,4.1961669921875e-05,True,False,28.38966876232887,1494,228,0.0074207782745361,26,1,1,True,True,True,False,"[3, 1, 4, 2, 0]"
10,44,27.515255499273284,1395,104,4.38690185546875e-05,True,False,28.71488610065684,1588,245,0.0485913753509521,189,1,1,True,True,True,False,"[3, 0, 4, 2, 1]"
10,45,27.862963261708067,1402,158,2.9802322387695312e-05,True,False,28.57157667242719,1550,198,0.0140423774719238,94,1,1,True,True,True,False,"[4, 1, 3, 0, 2]"
10,46,27.45896580318688,1294,156,2.789497375488281e-05,True,False,28.17473247302094,1428,210,0.0199675559997558,137,1,1,True,True,True,False,"[4, 0, 1, 3, 2]"
10,47,26.74996592494668,1145,156,2.7179718017578125e-05,True,False,28.44606267171757,1503,220,0.0130643844604492,82,1,1,True,True,True,False,"[0, 2, 1, 4, 3]"
10,48,27.13183088487745,1173,135,2.86102294921875e-05,True,False,28.098453527425228,1404,193,0.010167121887207,66,1,1,True,True,True,False,"[4, 2, 1, 3, 0]"
