label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S75,10,28.3787,28.3787,0.0,"[3, 1, 0, 1, 4, 3, 1, 2, 4, 2]","[312, 198, 396, 218, 389]","[5.7462, 5.2933, 5.9839, 5.3891, 5.9661]",False,
S76,10,28.4016,28.4016,0.0,"[3, 1, 0, 1, 4, 3, 1, 3, 4, 2]","[312, 198, 352, 251, 389]","[5.7462, 5.2933, 5.8665, 5.5294, 5.9661]",False,
S77,10,28.3305,28.3305,0.0,"[3, 1, 0, 1, 4, 3, 1, 4, 4, 2]","[312, 198, 352, 218, 417]","[5.7462, 5.2933, 5.8665, 5.3891, 6.0355]",False,
S71,9,28.2728,28.0213,0.2515,"[3, 1, 0, 2, 4, 3, 1, None, 4, 2]","[312, 150, 365, 218, 389]","[5.7462, 5.0173, 5.9026, 5.3891, 5.9661]",False,
S72,9,28.3136,28.0642,0.2495,"[3, 1, 0, 3, 4, 3, 1, None, 4, 2]","[312, 150, 352, 236, 389]","[5.7462, 5.0173, 5.8665, 5.4681, 5.9661]",False,
S73,9,28.3527,28.1012,0.2515,"[3, 1, 0, 4, 4, 3, 1, None, 4, 2]","[312, 150, 352, 218, 437]","[5.7462, 5.0173, 5.8665, 5.3891, 6.0822]",False,
S46,8,28.3854,27.7886,0.5968,"[3, 1, 0, None, 4, 3, 2, None, 4, 2]","[312, 111, 390, 218, 389]","[5.7462, 4.7185, 5.9687, 5.3891, 5.9661]",False,
S47,8,28.3965,27.8026,0.5939,"[3, 1, 0, None, 4, 3, 3, None, 4, 2]","[312, 111, 352, 245, 389]","[5.7462, 4.7185, 5.8665, 5.5053, 5.9661]",False,
S48,8,28.397,27.8002,0.5968,"[3, 1, 0, None, 4, 3, 4, None, 4, 2]","[312, 111, 352, 218, 436]","[5.7462, 4.7185, 5.8665, 5.3891, 6.0799]",False,
P2,7,28.1528,27.2066,0.9461,"[4, 1, 0, None, 4, 3, None, None, 4, 2]","[312, 111, 352, 117, 447]","[5.7462, 4.7185, 5.8665, 4.7707, 6.1048]",True,אי-היתכנות EF1
S40,6,28.1632,22.5538,5.6095,"[None, 2, 0, None, 4, 3, None, None, 4, 2]","[312, 0, 432, 117, 389]","[5.7462, 0.0, 6.0707, 4.7707, 5.9661]",False,
S41,6,28.3826,22.9448,5.4378,"[None, 3, 0, None, 4, 3, None, None, 4, 2]","[312, 0, 352, 213, 389]","[5.7462, 0.0, 5.8665, 5.366, 5.9661]",False,
P1,6,28.1327,22.5232,5.6095,"[None, 4, 0, None, 4, 3, None, None, 4, 2]","[312, 0, 352, 117, 463]","[5.7462, 0.0, 5.8665, 4.7707, 6.1399]",True,אי-היתכנות EF1
S38,5,28.0796,17.733,10.3466,"[None, None, 0, None, 4, 4, None, None, 4, 2]","[312, 0, 352, 0, 454]","[5.7462, 0.0, 5.8665, 0.0, 6.1203]",False,
S7,2,28.1892,11.1698,17.0194,"[None, None, 1, None, None, None, None, None, None, 2]","[0, 200, 352, 0, 0]","[0.0, 5.3033, 5.8665, 0.0, 0.0]",False,
S8,2,27.9121,6.4249,21.4872,"[None, None, 2, None, None, None, None, None, None, 2]","[0, 0, 616, 0, 0]","[0.0, 0.0, 6.4249, 0.0, 0.0]",False,
S9,2,28.0861,11.0255,17.0605,"[None, None, 3, None, None, None, None, None, None, 2]","[0, 0, 352, 173, 0]","[0.0, 0.0, 5.8665, 5.1591, 0.0]",False,
S10,2,28.1245,11.0814,17.0431,"[None, None, 4, None, None, None, None, None, None, 2]","[0, 0, 352, 0, 183]","[0.0, 0.0, 5.8665, 0.0, 5.2149]",False,
N16,1,28.4862,5.7621,22.7241,"[None, None, None, None, None, None, None, None, None, 3]","[0, 0, 0, 317, 0]","[0.0, 0.0, 0.0, 5.7621, 0.0]",False,
N17,2,28.4832,11.5083,16.975,"[None, None, 0, None, None, None, None, None, None, 3]","[312, 0, 0, 317, 0]","[5.7462, 0.0, 0.0, 5.7621, 0.0]",False,
S62,3,28.1861,11.9646,16.2215,"[None, None, 0, None, 0, None, None, None, None, 3]","[493, 0, 0, 317, 0]","[6.2025, 0.0, 0.0, 5.7621, 0.0]",False,
S63,3,28.1749,16.1904,11.9845,"[None, None, 0, None, 1, None, None, None, None, 3]","[312, 107, 0, 317, 0]","[5.7462, 4.6821, 0.0, 5.7621, 0.0]",False,
L2,3,28.4304,16.6844,11.746,"[None, None, 0, None, 2, None, None, None, None, 3]","[312, 0, 176, 317, 0]","[5.7462, 0.0, 5.1761, 5.7621, 0.0]",False,
S64,3,28.1519,11.9304,16.2215,"[None, None, 0, None, 3, None, None, None, None, 3]","[312, 0, 0, 484, 0]","[5.7462, 0.0, 0.0, 6.1841, 0.0]",False,
N18,3,28.4832,16.7657,11.7175,"[None, None, 0, None, 4, None, None, None, None, 3]","[312, 0, 0, 317, 191]","[5.7462, 0.0, 0.0, 5.7621, 5.2575]",False,
S65,4,28.1174,17.185,10.9325,"[None, None, 0, None, 4, None, None, None, 0, 3]","[475, 0, 0, 317, 191]","[6.1654, 0.0, 0.0, 5.7621, 5.2575]",False,
S66,4,28.2209,21.6099,6.611,"[None, None, 0, None, 4, None, None, None, 1, 3]","[312, 126, 0, 317, 191]","[5.7462, 4.8442, 0.0, 5.7621, 5.2575]",False,
S67,4,28.1865,21.5364,6.65,"[None, None, 0, None, 4, None, None, None, 2, 3]","[312, 0, 117, 317, 191]","[5.7462, 0.0, 4.7707, 5.7621, 5.2575]",False,
S68,4,28.0717,17.1393,10.9325,"[None, None, 0, None, 4, None, None, None, 3, 3]","[312, 0, 0, 461, 191]","[5.7462, 0.0, 0.0, 6.1356, 5.2575]",False,
S69,4,28.3936,17.4744,10.9192,"[None, None, 0, None, 4, None, None, None, 4, 3]","[312, 0, 0, 317, 389]","[5.7462, 0.0, 0.0, 5.7621, 5.9661]",False,
S58,2,28.0847,11.0654,17.0194,"[None, None, 1, None, None, None, None, None, None, 3]","[0, 200, 0, 317, 0]","[0.0, 5.3033, 0.0, 5.7621, 0.0]",False,
S59,2,28.319,11.3418,16.9772,"[None, None, 2, None, None, None, None, None, None, 3]","[0, 0, 264, 317, 0]","[0.0, 0.0, 5.5797, 5.7621, 0.0]",False,
S60,2,27.6836,6.1964,21.4872,"[None, None, 3, None, None, None, None, None, None, 3]","[0, 0, 0, 490, 0]","[0.0, 0.0, 0.0, 6.1964, 0.0]",False,
S61,2,28.0201,10.977,17.0431,"[None, None, 4, None, None, None, None, None, None, 3]","[0, 0, 0, 317, 183]","[0.0, 0.0, 0.0, 5.7621, 5.2149]",False,
S2,1,28.0766,5.2983,22.7783,"[None, None, None, None, None, None, None, None, None, 4]","[0, 0, 0, 0, 199]","[0.0, 0.0, 0.0, 0.0, 5.2983]",False,
